CallerId,Recipient,CallDate,EndTime,Duration,Cost,Reference,Currency,Type
",447761000000,24/08/2016,14:08:31,7,0.002,C7A6BECB34A2458A3BF7B6C389154E61A,GBP,2
"
",447761000000,24/08/2016,14:57:57,8,0.002,CAE2CE1AD058E25FC7C53F508CDEAC474,GBP,2
"
",448000000000,16/08/2016,14:48:54,302,0,CAF8538BE138B7004891DFD1FF2893F96,GBP,1
"
",447761000000,24/08/2016,13:51:56,4,0.001,C19E420E88D2C9C045E161FDEF1E4FD4D,GBP,1
"
",447825000000,19/08/2016,07:53:49,44,0.007,C70D6F63E7D8BCA70E6F8897E2B19FC1A,GBP,2
"
",447501000000,19/08/2016,10:01:33,32,0.005,C52A20D535CD970BFC850979262DA32C2,GBP,1
"
",447910000000,19/08/2016,09:44:57,200,0.029,CC500A39FE18CDE10B802F8EA06A13EE3,GBP,2
"
",441315000000,17/08/2016,10:45:21,89,0.006,C6A36C061F8307B9264D366F0F71B4AEC,GBP,2
"
",447825000000,18/08/2016,17:22:20,47,0.007,C780F155B833D231EA0CA893F46EAF551,GBP,2
"
",441271000000,08/08/2016,07:52:00,22,0.002,CD2763690FE90781F16D41D0A3121A1B7,GBP,1
"
",442920000000,25/08/2016,09:27:14,156,0.009,C5A979538ADF433F64E8F9AD808B3FC9B,GBP,1
"
",447761000000,24/08/2016,14:09:14,9,0.002,C7DF25CC8BC61EBEB800E44E15313C3FD,GBP,2
"
",447558000000,18/08/2016,18:23:55,40,0.006,C8DE7FF16CE6117AE6E67D411445CFE90,GBP,2
"
",447825000000,19/08/2016,07:24:52,52,0.008,C25E6CF40B6DB7DD617CFCD870D11794F,GBP,2
"
",447467000000,19/08/2016,07:22:24,117,0.017,C8B2368E5A4767F2C0A28E1549FE720BA,GBP,2
"
",447584000000,19/08/2016,09:50:19,8,0.002,C5AEAE64813BC2B31D1978BB43679D014,GBP,2
"
",447799000000,19/08/2016,11:31:02,2701,0.383,CC307A7CDFA3A54B4EDF25CB338905E61,GBP,2
"
",447825000000,19/08/2016,11:24:08,90,0.013,CCF1BB813C8B93A0285A1B8E19128C138,GBP,1
"
",447526000000,24/08/2016,16:07:36,352,0.051,CC839401A28FDF9E322A2B006ED5B70E0,GBP,1
"
",447825000000,19/08/2016,14:08:41,124,0.018,C287D9F3B9A37BEA8D755C67EC2DF9D4D,GBP,2
"
",447929000000,25/08/2016,08:55:31,32,0.005,C654D571F324FD70C7658876B7C655030,GBP,1
"
",447919000000,19/08/2016,14:46:08,45,0.007,C348305088E2A2A76B4A5748E12DE895A,GBP,1
"
",447739000000,25/08/2016,08:02:20,25,0.004,C38FFEABE7B0E83767C15F5080600E380,GBP,2
"
